名字,组成
肠粘连缓解汤,"['川朴', '木香', '莱菔子', '当归', '肉苁蓉', '乌药', '桃仁', '赤芍', '芒硝', '番泻叶', '党参', '黄精']"
大承气汤,"['大黄', '厚朴', '枳实', '芒硝合']"
秦艽扶羸汤,"['柴胡', '人参', '鳖甲', '秦艽', '地骨', '紫菀', '甘草', '当归']"
胆道排石汤,"['金草', '茵陈', '郁金', '枳壳', '木香', '生大黄']"
桂枝加附子汤,"['桂枝', '芍药', '甘草', '生姜', '大枣', '附子']"
犀角升麻汤,"['犀角', '防风', '羌活', '川芎', '白附子', '白芷', '黄芩', '炙甘草']"
黄芩散,"['黄芩', '赤茯苓', '麦门冬', '石膏', '葛根', '甘菊花', '炙甘草']"
桂枝加黄芪汤,"['桂枝', '芍药', '甘草', '生姜', '大枣', '黄芪']"
水解散,"['甘草', '大黄', '麻黄']"
大造丸,"['紫河车具', '龟板', '黄柏', '杜仲', '牛膝', '天门冬', '麦门冬', '人参', '生地黄']"
易筒地黄饮子,"['生地黄', '黄芪', '熟地黄', '甘草', '天门冬', '麦门冬', '石斛', '枇杷叶', '枳壳', '泽泻', '人参']"
耳聋左慈丸,"['磁石', '熟地黄', '山茱萸', '牡丹', '山药', '茯苓', '泽泻', '北味子', '石菖蒲']"
升阳举经汤,"['肉桂', '白芍', '红花', '细辛', '人参', '熟地黄', '川芎', '独活', '炮附子', '炙甘草', '羌活', '藁本', '防风', '白术', '当归', '黄芪', '柴胡', '桃仁']"
丁桂散,"['丁香', '肉桂']"
千捶膏,"['松香', '巴豆粒', '蓖麻仁', '杏仁', '乳香', '没药', '铜绿']"
坎离砂,"['麻黄', '归尾', '附子', '透骨草', '红花', '干姜', '桂枝', '牛膝', '白芷', '荆芥', '防风', '木瓜', '生艾绒', '羌活', '独活', '铁砂']"
铁箍散,"['芙蓉叶', '黄柏', '大黄', '倍子', '白及']"
玉露散,['芙蓉叶']
金黄散,"['天花粉', '大黄', '黄柏', '姜黄', '白芷', '天南星', '苍术', '厚朴', '甘草']"
越鞠丸,"['香附', '川芎', '苍术', '神曲', '栀子']"
阿魏膏,"['羌活', '独活', '玄参', '官桂', '赤芍', '穿山甲', '生地黄', '头尖', '大黄', '白芷', '天麻', '红花', '槐枝', '柳枝', '桃枝', '木鳖子', '头发团']"
神仙化痞膏,"['当归', '川芎', '赤芍', '黄连', '黄芩', '丁香', '生地黄', '草乌', '巴豆', '红花', '肉桂', '黄柏', '栀子', '苏木', '川乌', '大黄', '穿山甲', '蜈蚣', '白花蛇', '桃枝', '柳枝', '枣枝', '黄丹', '铅粉', '松香', '黄蜡', '乳香', '没药', '血竭', '天竺黄', '轻粉', '硇砂', '胡黄连', '麝香', '阿魏']"
通关散,"['皂角', '细辛']"
苦酒汤,"['鸡子', '苦酒适量']"
滋阴降火汤,"['白芍', '当归', '川芎', '黄柏', '生知母', '天花粉', '生甘草', '熟地黄—', '玄参', '桔梗', '竹沥']"
金果饮,"['地黄', '玄参', '麦冬', '胖大海']"
铁笛丸,"['当归', '怀熟地黄', '怀生地黄', '天门冬', '黄柏', '知母', '麦门冬', '玄参', '白茯苓', '诃子', '阿胶', '人乳', '牛乳', '乌梅肉', '甜梨汁']"
清音丸,"['桔梗', '诃子肉', '甘草', '青黛', '硼砂', '冰片']"
清咽宁嗽汤,"['桔梗', '栀子', '黄芩', '桑白', '甘草', '前胡', '知母', '贝母']"
银翘马勃散,"['连翘', '牛蒡子', '金银花', '射干', '马勃']"
玉屑无忧散,"['玄参', '荆芥穗', '滑石', '黄连', '缩砂仁', '白茯苓', '贯众', '炙甘草', '山豆根', '寒水石', '硼砂']"
清热泻脾散,"['栀子', '生地黄', '黄芩', '茯苓', '煅石膏', '黄连', '灯草']"
泻黄散,"['藿香叶', '山栀仁', '石膏', '甘草', '防风']"
凉血四物汤,"['当归', '生地黄', '川芎', '赤芍', '黄芩', '赤茯苓', '红花', '生甘草']"
消风养血汤,"['荆芥', '蔓荆子', '菊花', '白芷', '麻黄', '桃仁', '红花', '防风', '川芎', '当归', '草决明', '石决明', '白芍', '甘草']"
泻青丸,"['龙胆草', '大黄', '防风', '羌活', '川芎', '当归', '山栀']"
托里透脓汤,"['人参', '白术', '穿山甲', '白芷', '甘草', '当归', '黄芪', '皂角刺']"
代刀散,"['皂角刺', '黄芪', '甘草', '乳香']"
透脓散,"['生黄芪', '当归', '穿山甲', '皂角刺', '川芎']"
回阳三建汤,"['附子', '人参', '黄芪', '当归', '川芎', '茯苓', '枸杞', '萸肉', '木香', '甘草', '紫草', '厚朴', '苍术', '红花', '独活']"
小金丹,"['白胶香', '制草乌', '灵脂', '地龙', '制木鳖', '制没药', '制乳香', '当归身', '麝香', '陈墨']"
六应丸,"['丁香', '蟾酥', '雄黄', '牛黄', '珍珠', '冰片']"
犀黄丸,"['犀黄', '麝香', '乳香', '没药']"
萆薢渗湿汤,"['萆薢', '薏苡仁', '黄柏', '赤苓', '牡丹', '泽泻', '滑石', '通草']"
顾步汤,"['黄芪', '金钗石斛', '当归', '金银花', '牛膝', '紫花地丁', '蒲公英', '菊花', '人参', '甘草']"
四妙勇安汤,"['金银花', '玄参', '当归', '甘草']"
五香流气饮,"['金银花', '僵蚕', '连翘', '羌活', '独活', '瓜蒌仁', '小茴香', '藿香', '丁香', '木香', '沉香甘草']"
五神汤,"['金银花', '紫花地丁', '茯苓', '车前子', '牛膝']"
瓜蒌牛蒡汤,"['瓜蒌仁', '牛蒡子', '花粉', '黄芩', '生栀子', '连翘', '皂刺', '金银花', '生甘草', '柴胡']"
枇杷清肺饮,"['枇杷叶', '桑白', '黄连', '黄柏', '人参', '甘草']"
牛蒡解肌汤,"['牛蒡子', '薄荷', '荆芥', '连翘', '山栀子', '牡丹', '石斛', '玄参', '夏枯草']"
七星剑,"['野菊花', '苍耳草', '稀莶草', '枝莲', '地丁草', '麻黄', '草河车']"
当归活血汤,"['当归', '红花', '生地黄', '赤芍', '川芎', '紫草']"
内疏黄连汤,"['黄连', '芍药', '当归', '槟榔', '木香', '黄芩', '薄荷', '山栀子', '桔梗', '甘草', '连翘']"
银花解毒汤,"['金银花', '地丁草', '犀角', '赤苓', '连翘', '牡丹', '川连', '夏枯草']"
银花甘草汤,"['金银花', '生甘草']"
五味消毒饮,"['金银花', '野菊花', '蒲公英', '紫花地丁', '紫背天葵子']"
赤小豆当归散,"['赤小豆', '当归']"
银苇合剂,"['金银花', '连翘', '桔梗', '杏仁', '红藤', '鱼腥草', '冬瓜子', '桃仁', '鲜芦根尺']"
薏苡附子败酱散,"['薏苡仁', '附子', '败酱']"
参芦散,['人参芦']
急救稀涎散,"['皂荚挺', '白矾']"
瓜蒂散,"['瓜蒂', '赤小豆']"
甘草粉蜜汤,['甘草']
驱绦汤,"['南瓜子仁', '槟榔']"
肥儿丸,"['神曲', '黄连', '肉豆蔻', '使君子', '麦芽', '槟榔', '木香']"
化虫丸,"['胡粉', '鹤虱', '槟榔', '苦楝根', '枯白矾']"
安蛔汤,"['人参', '白术', '茯苓', '干姜', '花椒', '乌梅']"
使君子丸,"['使君子', '厚朴', '川芎']"
胆道蛔虫汤,"['木香', '槟榔', '大黄', '使君子', '苦楝', '厚朴', '延胡索']"
椒梅汤,"['川椒', '乌梅', '生白芍', '人参', '黄连', '黄芩', '干姜', '枳实']"
易黄汤,"['山药', '芡实', '黄柏', '车前子', '白果']"
止带丸,"['当归', '川芎', '白术', '人参', '山药', '杜仲', '香附', '破故纸', '牡蛎', '椿根', '续断', '青黛']"
清带汤,"['生山药', '生龙骨', '生牡蛎', '海螵蛸', '茜草']"
完带汤,"['白术', '山药', '人参', '白芍', '车前子', '苍术', '甘草', '黑荆穗', '柴胡']"
威喜丸,"['黄蜡', '白茯苓']"
秘精丸,"['煅牡蛎', '菟丝子', '生龙骨', '味子', '韭子', '桑螵蛸', '白茯苓', '煅白石脂']"
秘元煎,"['远志', '山药', '芡实', '枣仁', '白术', '茯苓', '炙甘草', '人参', '味子粒', '金樱子核']"
十四味建中汤,"['当归', '白芍', '白术', '甘草', '人参', '麦门冬', '川芎', '肉桂', '附子', '肉苁蓉', '黄芪', '茯苓', '熟地黄']"
固真丸,"['菟丝子', '煅牡蛎', '金樱子', '茯苓']"
三才封髓丹,"['人参', '天门冬', '熟地黄', '黄柏', '砂仁', '甘草']"
茯菟丸,"['菟丝子', '白茯苓', '石莲子']"
桑螵蛸散,"['桑螵蛸', '远志', '菖蒲', '龙骨', '人参', '茯神', '当归', '龟甲']"
水陆二仙丹,"['芡实', '金樱子']"
膏淋汤,"['生山药', '生芡买', '生龙骨', '生牡蛎', '大生地黄', '潞党参', '生杭芍']"
治浊固本丸,"['莲花须', '黄连白茯苓', '砂仁', '益智仁', '黄柏', '炙甘草', '猪苓']"
巩堤丸,"['熟地黄', '菟丝子酒煮', '白术', '北味子', '酒益智仁', '酒补骨脂', '制附子', '茯苓', '家韭子']"
