名字,组成
清暑益气汤,"['西洋参', '石斛', '麦冬', '黄连', '竹叶', '荷梗', '知母', '甘草', '粳米', '西瓜翠衣']"
芍药汤,"['芍药', '当归', '黄连', '槟榔', '木香', '甘草', '大黄', '黄芩', '官桂']"
苓甘五味姜辛汤,"['茯苓', '甘草', '干姜', '细辛', '味子']"
理中丸,"['人参', '干姜', '甘草炙', '白术']"
清营汤,"['犀角', '生地黄', '玄参', '竹叶', '麦冬', '丹参', '黄连', '银花', '连翘', '连用']"
龙胆泻肝汤,"['龙胆草', '黄芩', '栀子', '泽泻', '木通', '车前子', '当归', '酒洗', '柴胡', '生地黄', '生甘草']"
大黄附子汤,"['大黄', '附子炮', '细辛']"
瓜蒌薤白白酒汤,['瓜蒌实薤白白酒']
柴胡疏肝散,"['陈醋', '柴胡', '川芎', '香附', '枳壳麸', '芍药', '甘草炙']"
生化汤,"['全当归', '川芎', '桃仁尖', '干姜炮黑', '甘草炙']"
桑菊饮,"['桑叶', '菊花', '杏仁', '桔梗', '甘草生', '薄荷', '连翘', '苇根']"
六一散,"['滑石', '甘草']"
苓桂术甘汤,"['茯苓桂枝', '白术甘草炙']"
大柴胡汤,"['柴胡黄芩芍药夏', '洗生姜', '大枣', '擘枳实', '炙大黄']"
独活寄生汤,"['独活', '桑寄生', '杜仲', '牛膝', '细辛', '秦艽', '茯苓', '肉桂', '防风', '川芎', '人参', '甘草', '当归', '芍药', '干地黄']"
当归四逆汤,"['当归', '桂枝', '芍药', '细辛', '甘草', '通草', '大枣']"
三仁汤,"['杏仁', '飞滑石', '白通草', '白蔻仁', '竹叶', '厚朴', '生薏苡仁']"
平胃散,"['苍术', '捣为粗末', '黄色', '厚朴', '涂生姜汁', '炙令香熟', '陈橘洗令净', '甘草炙黄']"
补阳还五汤,"['黄芪生', '当归尾赤芍地龙川芎桃仁红花']"
藿香正气散,"['大腹', '白芷', '紫苏', '茯苓', '夏曲', '白术', '陈白', '厚朴', '姜汁炙', '苦桔梗', '藿香土', '甘草炙']"
大定风珠,"['生白芍', '阿胶', '生龟甲', '干地黄', '麻仁', '味子', '生牡蛎', '麦冬连', '炙甘草', '鸡子黄生', '鳖甲生']"
葛根芩连汤,"['葛根', '炙甘草', '黄芩', '黄连']"
二陈汤,"['夏汤洗次', '橘红', '白茯苓', '甘草炙']"
青蒿鳖甲汤,"['青蒿', '鳖甲', '细生地', '知母']"
导赤散,"['生地黄', '木通', '生甘草梢']"
防己黄芪汤,"['防己', '黄芪芦', '甘草', '白术']"
普济消毒饮,"['黄芩', '黄连', '甘草', '玄参', '柴胡', '桔梗', '连翘', '板蓝根', '马勃', '牛蒡子', '薄荷', '僵蚕']"
黄土汤,"['甘草', '干地黄', '白术炮附子', '阿胶', '黄芩', '灶土']"
凉膈散,"['川大黄朴硝甘草炙', '山栀子仁薄荷梗黄芩', '连翘']"
麦门冬汤,"['麦门冬', '人参', '甘草', '粳米合', '大枣']"
黄连解毒汤,"['黄连', '黄芩', '黄柏', '栀子']"
半夏厚朴汤,"['厚朴', '茯苓', '生姜', '苏叶']"
九味羌活汤,"['羌活', '防风', '苍术', '细辛', '川芎', '白芷', '生地黄', '黄芩', '甘草']"
半夏白术天麻汤,['夏天麻茯苓橘红白术甘草']
百合固金汤,['百合熟地黄生地黄当归身白芍甘草桔梗玄参贝母麦冬']
白头翁汤,"['白头翁', '黄柏', '黄连']"
安宫牛黄丸,"['牛黄', '郁金', '犀角', '黄连', '黄芩', '山栀', '朱砂', '雄黄', '梅片', '麝香', '珍珠', '金箔衣']"
八正散,"['车前子', '瞿麦', '扁蓄', '滑石', '山栀子仁', '甘草炙', '木通', '大黄裹煨']"
吴茱萸汤,"['吴茱萸', '洗人参大枣', '擘生姜']"
大黄牡丹汤,['大黄牡丹桃仁冬瓜子芒硝合']
苇茎汤,"['苇茎', '水斗', '滓薏苡仁瓜瓣桃仁']"
十枣汤,['芫花熬甘遂大戟']
十灰散,['大蓟小蓟荷叶侧柏叶茅根茜根山栀大黄牡丹棕榈']
苏子降气汤,"['紫苏子夏汤洗次', '川当归芦', '甘草炙', '前胡芦厚朴', '姜汁拌', '肉桂']"
苏合香丸,"['苏合香龙脑麝香安息香用无灰酒熬膏青木香香附白檀香丁香沉香荜茇熏陆香制', '白术诃黎勒煨朱砂乌犀屑']"
四逆散,"['甘草炙枳实破', '水渍', '炙干柴胡芍药']"
犀角地黄汤,['犀角生地黄芍药牡丹']
痛泻要方,"['白术', '白芍药', '防风']"
天王补心丹,"['生地黄酒洗', '人参芦丹参微玄参微白茯苓远志', '桔梗味子当归身酒洗天门冬麦门冬柏子仁酸枣仁']"
天麻钩藤饮,"['天麻钩藤石决明栀子黄芩川牛膝杜仲益母革桑寄生夜交藤朱茯神知识拓展本诞生于世纪年代', '为高血压头痛而设', '其创制者在学术上力主中西医汇通结合', '提出：“在不违背中医学术辨证论治的基础上', '逐步地和现代的基础医学和临床医学知识联系起来', '丰富中医学的内容', '提高它的理论和技术水平', '更好地发挥中医学的特点”', '在制中：以中医理论为指导', '认为高血压头痛病因多为肝火厥逆', '上攻头脑所致', '故在选药上', '多以平肝息风药天麻', '钩藤与清肝降火药黄芩', '栀子相伍', '将中所选的中药与现代药理作用相结合', '中之黄芩', '杜仲', '益母草', '桑寄生均有降压作用', '且西医在治疗高血压病的过程中', '常用利尿剂和扩血管药物', '中之牛膝', '益母草均有良好的扩血管及利尿作用', '提高了剂配伍的针对性', '有效性', '融合中', '西医理论本']"
五苓散,"['猪苓', '泽泻白术茯苓桂枝']"
 仙方活命饮,['白芷贝母防风赤芍当归尾甘草皂角刺穿山甲炙天花粉乳香没药金银花陈']
