名字,组成
红花逍遥胶囊,"['竹叶', '柴胡', '白芍', '当归', '白术', '茯苓', '薄荷', '甘草', '皂角刺', '红花']"
抗感胶囊,"['金银花', '赤芍', '绵马贯众']"
苠枣颗粒,"['黄芪', '大枣', '茯苓', '鸡血藤']"
黄萱益肝散,"['土大黄', '萱草', '千里光', '猕猴桃', '红土茯苓', '野蔷薇', '獐芽菜', '骚羊占', '南味子', '丹参', '甘草']"
咳露口服液,"['川贝母', '枇杷叶', '紫菀', '麻黄', '黄芩', '罂粟壳', '甘草', '薄荷脑']"
骨疏康颗粒,"['淫羊藿', '熟地黄', '骨碎补', '黄芪', '丹参', '术耳', '黄瓜籽']"
香砂六君丸,"['人参', '白术', '茯苓', '甘草', '砂仁', '生姜']"
复方夏天无片,"['夏天无', '制草乌']"
复方益肝灵片,"['益肝灵粉', '仁醇浸膏']"
补益强心片,"['人参', '黄芪', '丹参', '麦冬', '葶苈子']"
温胃舒胶囊,"['党参', '附子', '黄芪', '肉桂', '肉苁蓉', '白术', '山楂', '乌梅', '砂仁', '补骨脂']"
舒秘胶囊,['芦荟']
紫丹活血片,"['总皂苷', '紫丹参']"
葛根芩连片,"['葛根', '黄芩', '黄连', '甘草']"
味黑药丸,"['寒水石', '食盐', '烈香杜鹃', '藏木通', '肉豆蔻', '芫荽果', '芒硝', '硇砂', '光明盐', '紫硇砂', '榜嘎', '藏木香', '荜茇', '黑胡椒', '干姜']"
人参女金丸,"['红参', '香附', '当归', '白芍', '茯苓', '牡丹', '白术', '川芎', '藁本', '白芷', '延胡索', '白薇', '赤石脂', '沉香', '肉桂']"
儿脾醒颗粒,"['山楂', '麦芽', '鸡内金', '薏苡仁', '白扁豆', '茯苓']"
儿童清肺口服液,"['麻黄', '苦杏仁', '石膏', '甘草', '桑白', '瓜蒌', '黄芩', '板蓝根', '法夏', '浙贝母', '橘红', '紫苏子', '葶苈子', '紫苏叶', '细辛', '薄荷', '枇杷叶', '白前', '前胡', '石菖蒲', '天花粉', '青礞石']"
如意定喘片,"['蛤蚧', '蟾酥', '黄芪', '地龙', '麻黄', '党参', '苦杏仁', '白果', '枳实', '天冬', '味子', '麦冬', '紫苑', '百部', '枸杞子', '熟地黄', '远志', '葶苈子', '洋金花', '石膏', '甘草']"
安康欣胶囊,"['黄芪', '人参', '丹参', '灵芝', '山豆根', '若叶', '补骨脂', '鸡血藤', '枝莲', '淫羊藿多味']"
红花清肝十三味丸,"['红花', '麦冬', '木香', '诃子', '川楝子', '栀子', '紫檀香', '麝香', '水牛角浓缩粉', '牛黄', '银朱', '丁香', '莲子']"
抗感清热口服液,"['葛根', '连翘', '白芷', '黄芩']"
芪参通络胶囊,"['黄芪', '丹参', '水蛭', '大黄', '木香', '僵蚕', '鸡血藤']"
黄瑞香注射液,['黄瑞香']
雪山金罗汉止痛涂膜剂,"['铁棒锤', '麝香', '藏红花', '雪莲花', '冰片', '灵脂']"
连柏烧伤膏,"['黄连', '黄柏', '藤黄', '冰片']"
咳嗽糖浆,"['枇杷叶', '桔梗', '川贝母', '沙参', '远志', '绿茶', '薄荷脑']"
骨愈灵胶囊,"['血竭', '红花', '当归', '川芎', '赤芍', '乳香', '大黄', '续断', '骨碎补']"
香砂胃苓丸,"['木香', '砂仁', '苍术', '厚朴', '白术', '茯苓', '泽污', '猪苓', '肉桂', '甘草']"
复方胆通胶囊,"['胆通', '溪黄草', '茵陈', '穿莲', '大黄']"
复方首乌补液,"['制何首乌', '黄芪', '味干', '白术', '女贞子', '甘草', '当归', '党参', '茯苓']"
通窍鼻炎片,"['苍耳子', '防风', '黄芪', '白芷', '辛夷', '白术', '薄荷']"
黄龙止咳颗粒,"['黄芪', '地龙', '淫羊藿', '桔梗', '射干', '鱼腥草', '麻黄', '山楂', '葶苈子']"
安康颗粒,"['红参', '银耳', '当归', '猪脊髓', '鹿茸', '山楂']"
阳春玉液,"['鹿茸', '党参', '巴戟天', '蛇床子', '鹿角胶', '淫羊藿', '枸杞子', '熟地黄', '龟甲', '黄芪', '天冬']"
防参止痒颗粒,"['荆芥', '防风', '苦参', '苍术', '蝉蜕', '牛蒡子', '木通', '当归', '知母', '生地黄', '甘草']"
如意油,"['乳香', '甘草', '桂枝', '大黄', '丁香罗勒油', '防已', '杏仁', '木香', '薄荷油', '广藿香油', '细辛', '荆芥', '香附', '冰片']"
红金消结片,"['香附', '角莲', '鼠妇虫']"
抗风湿液,"['牛大力', '叶莲', '枫荷', '黑志虎根', '射樟', '路路通', '血风根', '虎杖', '千拔', '毛冬青', '鸡血藤']"
伤湿祛痛膏,"['生川乌', '生草乌', '苍术', '干姜', '当归', '麻黄', '白芷', '山柰', '冰片', '茴香味']"
血滞通胶囊,['薤白']
小儿清热利肺口服液,"['麻黄', '生石膏', '金银花', '连翘', '牛蒡子', '射干', '瓜蒌', '浮海石', '苦杏仁', '葶苈子', '车前子']"
小儿腹泻宁,"['党参', '葛根', '木香', '白术', '甘草', '茯苓', '广藿香']"
山楂内金口服液,"['山楂', '藏菖蒲', '荠菜', '鸡血藤', '连翘', '枇杷叶', '蝉蜕', '鸡内金']"
千金止咳丸,"['麻黄', '甘草', '苦杏仁', '法夏', '黄芩', '天南星', '紫苏子', '薄荷', '枳梗', '浙贝母', '桑白', '紫菀']"
川贝枇杷露,"['川贝母', '枇杷叶', '百部', '前胡', '桔梗', '桑白', '薄荷脑']"
复方穿心莲片,"['穿莲', '路边青']"
复方祖司麻止痛膏,"['祖司麻流浸膏', '冰片', '樟脑', '冬青油', '芸香浸膏', '颠茄流浸膏', '薄荷脑']"
桂蒲肾清胶囊,"['诃子', '蒲公英', '泽泻', '菥冥子', '牛黄', '肉桂', '琥珀', '菟丝子', '鸡内金', '阿胶', '莲子']"
桔贝合剂,"['桔梗', '浙贝母', '苦杏仁', '麦冬', '黄芩', '枇杷叶', '甘草']"
致康胶囊,"['大黄', '黄连', '白芷', '阿胶', '龙骨', '白及', '海螵蛸', '茜草', '龙血竭味']"
养荣丸,"['党参', '当归', '味子', '肉桂', '甘草', '黄芪', '白术', '远志', '生姜', '熟地黄', '茯苓', '白芍', '大枣']"
前列舒通胶囊,"['黄柏', '赤芍', '土茯苓', '马鞭草', '虎耳草', '马齿苋', '川芎', '川牛膝', '柴胡', '当归', '泽泻', '甘草味']"
首乌丸,"['制何首乌', '地黄', '牛膝', '桑葚', '女贞子', '墨旱莲', '桑叶', '黑芝麻', '菟丝子', '金樱子', '补骨脂', '稀莶草', '金银花']"
洁肤净洗剂,"['黄柏', '苦参', '百部', '地肤子', '蛇床子', '土茯苓', '黄芪', '当归', '赤芍', '犬青叶', '苍术', '花椒']"
活血接骨散,"['麻黄', '土鳖虫', '乳香', '地龙', '自然铜']"
复方熊胆滴眼液,"['熊胆粉', '天然冰片']"
复方藏红花油,"['西红花', '姜黄', '丁香罗勒油', '薄荷油', '松油', '冰片']"
小儿热咳清胶囊,"['荆芥', '百部', '瓜蒌仁', '桔梗', '桑白', '川贝母', '黄芩', '知母', '紫菀', '地骨', '苦杏仁', '甘草']"
小儿热速清口服液,"['柴胡', '黄芩', '板蓝根', '葛根', '金银花', '水牛角', '连翘', '大黄']"
百草油,"['甘草', '黄芩', '黄柏', '大黄', '厚朴', '草果', '豆蔻', '柴胡', '白芷', '青蒿', '大皂角', '细辛', '紫草', '沉香', '诃子', '艾叶', '薄荷油', '丁香罗勒油', '肉桂油', '广藿香油']"
贞芪扶正胶囊,"['黄芪', '女贞子']"
当归补血口服液,"['当归', '黄芪']"
田七补丸,"['乌鸡', '香附', '墨旱莲', '熟地黄', '党参', '白术', '当归', '女贞子']"
四制香附丸,"['香附', '川芎', '泽兰', '甘草', '熟地黄', '白芍', '当归', '白术', '黄柏']"
珍珠层粉,['用贝壳珍珠层研磨的细粉']
茵陈五苓丸,"['茵陈', '泽泻', '茯苓', '猪苓', '白术', '肉桂']"
荡石片,"['苘麻子', '石韦', '海浮石', '蛤壳', '茯苓', '小蓟', '玄明粉', '牛膝', '甘草']"
枳陈消食口服液,"['人参', '枳壳', '白术', '甘草', '麦牙', '山楂', '桔梗', '砂仁', '茯苓', '莱服子', '香附', '石斛']"
柏栀祛湿洗液,"['黄柏', '黄芩', '大黄', '栀子', '枝莲', '白花蛇舌草', '金银花', '地黄', '鱼腥革', '茵陈', '柴胡', '板蓝根', '紫草', '全蝎', '连翘', '通草', '地肤子', '滑石', '知母', '甘草']"
枸杞益元酒,"['枸杞', '何首乌', '锁阳', '补骨脂', '茯苓', '麦冬', '当归', '红花', '怀牛膝', '栀子', '红曲']"
柳栎浸膏胶囊,['柳栎浸膏粉']
威麦宁胶囊,['威麦宁']
海贝胃疡胶囊,"['海螵蛸', '浙贝母', '盐酸普鲁卡因', '延胡索', '甘草浸膏']"
复方鳖甲软肝片,"['鳖甲', '莪术', '赤芍', '当归', '党参', '黄芪', '紫河车', '冬虫夏草', '板蓝根', '连翘']"
复方麝香注射液,"['人工麝香', '郁金', '广藿香', '石菖蒲', '冰片', '薄荷脑']"
如意珍宝丸,"['珍珠母', '沉香', '石灰华', '金礞石', '红花', '螃蟹', '丁香', '毛诃子', '肉豆蔻', '余甘子', '草果', '香早芹', '檀香', '黑种草子', '降香']"
妇女养血丸,"['当归', '川芎', '柴胡', '甘草', '丹参', '茯苓', '肉桂', '白芍', '厚朴', '人参', '地黄', '红花', '香附', '白术']"
红茴香注射液,['红茴香']
扶正化瘀胶囊,"['丹参', '发酵虫草菌粉', '桃仁', '松花粉', '绞股蓝', '味子']"
抗感解毒片,"['葛根', '金银花', '黄芩', '连翘', '大青叶', '绵马贯众', '板蓝根', '菊花', '白芷', '菌陈', '栀子']"
苍耳子鼻炎胶囊,"['苍耳子浸膏粉', '白芷浸膏粉', '辛夷花浸膏粉', '石膏浸膏粉', '冰片', '薄荷脑', '芩浸膏粉']"
芪参胶囊,"['黄芪', '丹参', '人参', '水蛭']"
黄葵胶囊,['黄蜀葵花']
复肝能胶囊,"['黄芪', '蒲黄', '灵脂', '白茅根', '水牛角', '葛根', '山楂']"
复肝康颗粒,"['柴胡', '丹参', '香附', '黄芪', '红花', '桃仁', '当归', '赤芍', '地黄', '白芍', '川芎', '虎杖', '牡丹']"
通痹片,"['制马子', '白花蛇', '人参', '当归', '穿山甲', '制川乌', '天麻', '地龙', '桑寄生', '仙灵脾', '川草乌', '防风', '薏苡仁']"
桑姜感冒片,"['桑叶', '连翘', '菊花', '苦杏仁', '紫苏', '干姜']"
排毒养颜胶囊,"['大黄', '西洋参', '青阳参', '小红参', '肉苁蓉', '白术', '荷叶']"
培坤丸,"['黄芪', '甘草', '白术', '北沙参', '茯苓', '当归', '麦冬', '川芎', '酸枣仁', '白芍', '砂仁', '杜仲', '核桃仁', '葫芦巴', '艾叶', '龙眼肉', '山茱萸', '远志', '熟地黄', '味子']"
接骨七厘片,"['大黄', '当归', '骨碎补', '硼砂', '乳香', '土鳖虫', '血竭', '自然铜']"
黄氏响声丸,"['胖大海', '蝉衣', '贝母']"
复方片仔癀软膏,"['片仔癀粉', '季德胜蛇药片']"
复方公英片,"['蒲公英', '板蓝根']"
黄蒲洁肤洗剂,"['黄柏', '蛇床子', '黄连', '土茯苓', '白藓', '苦参', '百部', '虎杖', '蒲公英', '丹参', '丁香', '薄荷味']"
雪上一枝蒿速效止痛搽剂,"['雪上枝蒿', '生川乌', '生草鸟', '红花', '乳香', '金叶子', '黑骨头', '川芎', '金铁锁', '重楼', '附子', '见血飞', '冰片']"
咳喘舒片,"['麻黄', '蒲公英', '紫苏子', '浮海石', '白前', '麦冬', '紫菀', '百合', '甘草', '白果']"
复方珍珠口疮颗粒,"['珍珠', '倍予', '苍术', '甘草']"
复方春砂颗粒,"['砂仁叶油', '枳壳', '化橘红', '白术']"
牛黄清感胶囊,"['黄芩', '金银花', '连翘', '人工牛黄', '珍珠母', '滑石粉']"
升血灵颗粒,"['皂矾', '黄芪', '山楂', '新阿胶', '大枣']"
小儿解表颗粒,"['金银花', '连翘', '牛蒡子', '蒲公英', '黄芩', '防风', '紫苏叶', '荆芥穗', '葛根', '牛黄']"
大败毒胶囊,"['大黄', '蒲公英', '木鳖子', '白芷', '天花粉', '金银花', '黄柏', '乳香', '当归', '赤芍', '甘草', '蛇蜕', '干蟾', '蜈蚣', '全蝎', '芒硝']"
大株红景天注射液,['红景天']
丁蔻理中丸,"['丁香', '豆蔻', '党参', '白术', '干姜', '甘草']"
十味蒂达胶囊,"['蒂达', '洪连', '榜嘎', '木香', '波棱瓜子', '角茴香', '苦荚菜', '金腰草', '小檗', '熊胆粉']"
小儿消积止咳口服液,"['山楂', '槟榔', '枇杷叶', '瓜蒌', '桔梗', '连翘', '莱菔子', '葶苈子', '蝉蜕', '枳实']"
七星茶,"['钩藤', '蝉蜕', '淡竹叶', '灯芯草', '僵蚕', '防风', '天竺黄', '神曲', '麦芽']"
人参补气胶囊,"['红参', '红参须', '生晒参']"
三蛇胆川贝膏,"['蛇胆汁', '川贝母', '桑白', '麻黄', '枇杷叶', '桔梗', '牛白藤', '白薇', '肿风', '百部', '薄荷油']"
大黄利胆片,"['大黄', '手掌参', '余甘子']"
万应胶囊,"['黄连', '熊胆', '人工麝香', '复黄连', '牛胆汁', '冰片']"
小建中胶囊,"['桂枝', '白芍', '炙甘草', '生姜', '大枣', '饴糖']"
口腔炎喷雾剂,"['蜂房', '蒲公英', '忍冬藤', '皂角刺']"
山楂内消丸,"['香附', '山榷', '麦芽', '灵脂', '清夏', '莱菔子', '砂仁', '莪术']"
千金藤素片,['千金藤']
回春胶囊,"['海马', '蛤蚧', '仙茅', '鹿鞭', '牛鞭', '狗肾', '阳起石', '肉苁蓉', '味子', '鹿角胶', '韭菜子', '淫羊藿', '刺浸膏', '黄柏']"
竹沥胶囊,"['鲜竹沥', '鱼腥草', '枇杷叶', '桔梗', '生夏', '生姜', '薄荷油']"
优福宁胶囊,['狼毒']
延寿片,"['何首乌', '杜仲', '忍冬藤', '地黄', '黑豆', '稀莶草', '女贞子', '桑葚', '金樱子', '牛膝', '菟丝子', '桑叶', '黑芝麻', '墨旱莲']"
伤湿镇痛膏,"['大血藤', '续断', '生草乌', '苍术', '生川乌', '白芷', '虎杖', '独活', '生天南星', '牛膝', '寻骨风', '川芎', '吴茱萸', '干姜', '防风', '当归', '延胡索', '樟脑', '颠茄浓浸膏', '薄荷脑']"
华佗再造丸,"['当归', '川芎', '冰片', '白芍', '红参', '味子', '马子', '红花', '南星']"
血塞通注射液,['总皂苷']
全杜仲胶囊,['杜仲']
壮筋续骨丸,"['川芎', '白芍', '杜仲', '骨碎补', '桂枝', '木瓜', '自然铜', '当归', '菟丝子', '党参', '阴行草', '续断', '熟地黄', '炙黄芪', '蜂蜜']"
冰霜痱子粉,"['滑石粉', '碳酸钙粉', '冰片', '薄荷脑', '龙涎香精']"
产后逐瘀胶囊,"['益母草', '当归', '川芎', '炮姜']"
雪莲口服液,['天山雪莲花']
连花清瘟胶囊,"['连翘', '金银花', '炙麻黄', '苦杏仁', '石膏', '板蓝根', '绵马贯众', '鱼腥草', '广藿香', '大黄', '红景天', '薄荷脑', '甘草']"
咳舒糖浆,"['枇杷叶', '南沙参', '桔梗', '浙贝母', '氯化铵', '薄荷脑', '辅料为蔗糖', '焦糖', '苯甲酸钠']"
骨友灵搽剂,"['制川乌', '延胡索', '碱灵仙', '续断', '红花', '鸩血藤', '制何首乌', '防风', '蝉蜕', '甲基亚砜']"
红药气雾剂,"['川芎', '白芷', '当归', '土鳖虫', '红花', '冰片', '薄荷脑']"
抗痨颗粒,"['白及', '百部', '浙贝母', '薏苡仁', '红大戟', '蔗精', '糊精']"
妇康宝口服液,"['熟地黄', '川芎', '白芍', '艾叶', '当归', '甘草', '阿胶', '红糖']"
壮骨麝香止痛膏,"['豹骨', '麝香', '生草乌', '生川乌', '乳香', '冰片', '樟脑', '薄荷脑', '芸香', '颠茄流浸膏', '水杨酸甲酯味']"
冰蛹通脉含片,"['葛根', '冰片', '柞蚕蛹']"
产复欣颗粒,"['菟丝子', '枸杞子', '北沙参', '当归', '白芍', '阿胶', '地骨', '益母草', '蒲黄', '荆芥穗']"
决明降脂片,"['决明子', '茵陈', '桑寄生', '何首乌', '维生素C', '烟酸', '维生素B']"
关节镇痛巴布膏,"['辣椒', '片姜黄', '肉桂', '关白附', '川乌', '草乌', '细辛', '独活', '桂枝', '羌活', '秦艽', '川芎', '荆芥', '防风', '赤芍', '白芷', '当归', '青木香', '丁香', '红花', '薄荷脑', '冰片', '颠茄流浸膏', '水杨酸甲酯', '樟脑']"
灯盏花素注射液,['灯盏花素']
安儿宁颗粒,"['天竺黄', '红花', '人工牛黄', '岩白菜', '甘草', '高山辣根菜', '短管兔耳草', '白檀香', '唐古特乌头', '蔗糖']"
颈腰康胶囊,"['马子', '地龙', '红花', '乳香', '牛膝', '骨碎补', '伸筋草', '防己']"
琥珀消石颗粒,"['赤小豆', '当归', '海金沙', '琥珀', '鸡内金', '金草', '牛膝', '蒲黄', '郁金']"
琼玉膏,"['地黄', '党参', '茯苓']"
博性康药膜,"['苦参', '西南黄芩', '蛇床子', '杨柳枝', '土大黄', '天花粉', '栀子', '茵陈', '蒲公英', '萎陵菜']"
喜炎平注射液,['穿莲内酯磺化物']
搜风理肺丸,"['荆芥穗', '前胡', '桔梗', '竹茹', '黄芩', '紫苏梗', '枳壳', '法夏', '甘草', '薄荷', '苦杏仁', '旋复花', '瓜蒌子']"
葫芦素片,['总葫芦素']
散痰宁糖浆,"['桔梗', '远志', '桑白', '氯化铵', '盐酸麻黄碱', '薄荷脑']"
葛山降脂颗粒,"['葛根', '山楂', '泽泻', '制何首鸟', '当归']"
戟生止痛膏,"['巴戟天', '续断', '川牛膝', '羌活', '独活', '细辛', '白芷']"
朝阳丸,"['黄芪', '鹿茸', '大枣', '干姜', '木香', '核桃仁', '川楝子', '甘草', '铜绿']"
惠血生胶囊,"['党参', '当归', '冬虫夏草精', '大枣', '白术', '龙眼肉', '黄芪', '甘草', '龙血竭', '砂仁']"
紫草婴儿软膏,"['紫草', '红花']"
决明平脂胶囊,['决明子']
产复康颗粒,"['人参', '黄芪', '白术', '熟地黄', '当归', '何首乌', '益母草', '黑木耳', '蒲黄', '桃仁', '香附', '昆布']"
关节镇痛膏,"['白芷', '冰片', '薄荷脑', '赤芍', '川芎', '当归', '颠茄流浸膏', '丁香', '独活', '防风', '桂枝', '红花', '姜黄', '荆芥', '辣椒', '羌活', '秦艽', '青木香', '肉桂', '生草鸟', '生川乌', '生附子', '水杨酸甲酯', '细辛', '樟脑']"
灯盏细辛注射液,"['灯盏花', '细辛']"
安络化纤丸,"['地黄', '水蛭', '僵虫', '地龙', '白术', '郁金', '牛黄', '瓦楞子', '牡丹', '大黄', '生麦芽', '鸡内金', '水牛角浓缩粉', '辅料为倍他环糊精']"
阳春胶囊,"['水貂鞭粉', '羊鞭胶', '狗肾胶', '鹿茸', '首鸟', '菟丝子', '枸杞子', '淫羊藿', '黄芪', '熟地黄', '阳起石', '肉苁蓉']"
阴痒康洗剂,"['苦参', '蛇床子', '黄柏', '花椒', '白矾']"
防芷鼻炎片,"['苍耳子', '野菊药', '鹅不食草', '白芷', '防风', '墨旱莲', '白芍', '胆南星', '甘草', '蒺藜']"
妇科十味片,"['香附', '川芎', '当归', '元胡', '白术', '甘草', '红枣', '白芍', '赤芍', '熟地黄', '碳酸钙']"
妇得康泡沫剂,['苦参总生物碱']
红香止痛酊,"['桃仁', '红花', '当归', '乳香', '姜黄', '樟脑', '生天南星']"
麦当乳通颗粒,"['黄芪', '当归', '麦冬']"
扶正固本颗粒,"['黄芩', '淫羊藿', '女贞子', '何首乌', '地黄', '茜草', '黄精', '人参']"
抑眩宁胶囊,"['白芍', '苍耳子', '胆南星', '茯苓', '枸杞子', '黄芩', '菊花', '牡蛎', '山楂', '生铁落', '竹茹']"
芩玄解毒口服液,"['黄芩', '玄参', '牛蒡子', '薄荷', '连翘', '桔梗', '甘草', '板蓝根', '马勃', '僵蚕', '柴胡']"
苁蓉通便口服液,"['肉苁蓉', '何首乌', '枳实', '蜂蜜']"
苍辛气雾剂,"['苍耳子', '辛夷', '白芷', '细辛', '黄连', '瓜蒂']"
芪蛭通络胶囊,"['黄芪', '水蛭', '人参', '麦冬', '味子', '当归', '川芎', '毛冬青', '赤芍', '鸡血藤', '丹参', '制何首乌', '红花', '泽兰', '土鳖虫', '地龙', '僵蚕', '郁金', '姜黄', '全蝎', '天麻', '肉桂', '羌活', '猪牙皂', '胆南星', '冰片']"
克痒敏醑,"['山乌龟', '黄柏', '叉苦', '白芷', '重楼', '细辛', '毛麝香', '荆芥', '苦参', '虎杖', '蛇床子', '里香', '冰片', '薄荷脑', '山苍子', '钻骨风', '地榆', '水杨酸甲酯']"
杏苏感冒颗粒,"['杏仁', '前胡', '紫苏叶', '桔梗', '甘草', '茯苓', '紫苏叶油']"
更年乐片,"['淫羊藿', '牡蛎', '知母', '金樱子', '黄柏', '车前子', '人参', '桑葚', '当归', '核桃仁', '鹿茸', '补骨脂', '续断', '首乌藤', '白芍', '首乌', '牛膝', '甘草', '熟地黄']"
通塞脉片,"['当归', '牛膝', '黄芪', '党参', '石斛', '玄参', '金银花', '甘草']"
排毒降脂胶囊,"['大黄', '决明子', '山楂', '茵陈', '泽泻', '栀子', '莪术', '何首乌', '柴胡']"
萸连片,"['黄连', '吴茱萸', '术香']"
香桂活血膏,"['大黄', '片姜黄', '白芷', '干姜', '山柰', '徐长卿', '甘松', '杜衡', '猪牙皂', '独活', '川芎', '木香', '檀香', '丁香', '冰片', '薄荷脑', '桂油', '樟脑', '芸香浸膏', '水杨酸甲酯', '甲基亚矾', '颠茄流浸膏']"
香菊胶囊,"['化香树果序', '夏枯草', '黄芪', '防风', '甘草', '野菊花', '辛夷', '白芷', '川芎']"
复方益母口服液,"['益母草', '当归', '川芎', '木香']"
复方益母草膏,"['益母草', '当归', '川芎', '白芍', '地黄', '木香']"
复方益肝丸,"['茵陈', '板蓝根', '龙胆', '野菊花', '蒲公英', '山豆根', '垂盆草', '蝉蜕', '苦杏仁', '人工牛黄', '夏枯草', '车前子', '土茯苓', '胡黄连', '牡丹', '丹参', '红花', '大黄', '香附', '枳壳', '槟榔', '鸡内金', '人参', '桂枝', '味子', '柴胡', '炙甘草']"
复方鲜石斛颗粒,"['鲜石斛', '葛根']"
复方鲜竹沥,"['鲜竹沥', '鱼腥草', '枇杷叶', '桔梗', '生夏', '生姜', '薄荷油']"
咽喉清喉片,"['朱砂根', '头狮子草']"
咳灵胶囊,"['川贝母', '甘草', '苦杏仁', '麻黄', '人参', '砂仁', '石膏', '味子', '玄参', '罂粟壳', '枳实']"
石淋通颗粒,['广金草']
平眩胶囊,"['楤木', '万丈深', '天麻', '黄精', '仙鹤草', '猪殃殃']"
平消片,"['郁金', '仙鹤草', '灵脂', '白矾', '硝石', '干漆', '枳壳', '马子粉']"
归芪养血糖浆,"['当归', '香附', '党参', '黄芪', '川芎', '白芍', '熟地黄', '甘草', '茯苓']"
珍元清咽散,"['珍珠粉', '青黛', '玄参', '关黄柏', '倍子', '冰片', '白矾', '薄荷脑', '甘草']"
荆肤止痒颗粒,"['荆芥', '地肤予', '防风', '野菊花', '鱼腥草', '茯苓', '山楂']"
草珊瑚含片,"['肿风', '薄荷脑', '薄荷索油']"
茵胆平肝胶囊,"['茵陈', '龙胆', '黄芩', '猪胆膏', '栀子', '白芍', '当归', '甘草']"
茯苓多糖口服液,['茯苓']
神州跌打丸,"['红茴香', '大血藤', '山疆根', '蛇葡萄', '刘寄奴', '紫金牛', '络石藤', '制川乌', '制草乌', '地耳草', '支黄花', '边莲', '南藤', '牛尾菜', '藜芦']"
退障眼膏,"['决明子', '木贼', '谷精草', '蛇蜕', '羌活', '海藻', '莪术', '苍术', '黄精', '枸杞子', '密蒙花', '白蒺藜', '蝉蜕', '石决明', '昆布', '威灵仙', '细辛', '当归', '何首乌']"
屏风生脉胶囊,"['黄苠', '白术', '防风', '味子', '人参', '麦冬', '附子']"
除脂生发片,"['地黄', '何首乌', '当归', '白藓', '地肤子', '苦参', '防风', '川芎', '蝉蜕', '僵蚕', '牡丹', '蜈蚣味']"
除翳明目片,"['丹参', '赤芍', '地黄', '墨旱莲', '茺蔚子', '牡丹', '女贞子', '夏枯草', '毛冬青', '大黄', '黄芩']"
娃娃宁泡腾片,"['琥珀', '天竺黄', '钩藤', '党参', '白术', '茯苓味']"
结核灵片,['狼毒']
秦归活络口服液,"['秦艽', '党参', '赤芍', '当归']"
珠贝定喘丸,"['麻黄', '珍珠', '川贝母', '人工牛黄', '葶苈子', '细辛', '味子', '人参', '氨茶碱', '盐酸异丙嗪味']"
蚕蛾公补酒,"['雄蚕蛾', '人参', '白术', '熟地黄', '当归', '补骨脂', '拘杞子', '菟丝子', '仙茅', '肉苁蓉', '淫羊藿', '蛇床子']"
顽癣净,"['熊胆', '黄连', '苦参', '血竭', '土槿', '山豆根', '蛇床子味']"
振源胶囊,['人参果实提取物']
热淋清胶囊,['头花蓼']
莱葛颗粒,"['莱菔子', '山楂', '葛根']"
莲心胶囊,['莲子']
通乳颗粒,"['黄芪', '当归', '熟地黄', '白芍', '党参', '柴胡', '穿山甲', '王不留行', '路路通', '鹿角霜', '漏芦', '天花粉味']"
参茸珍宝片,"['人参', '鹿茸', '珍珠', '肉苁蓉', '枸杞子', '菟丝子', '女贞子', '褚实子', '苍术', '味子', '沙苑子', '小麦胚芽粉']"
消栓口服液,"['黄芪', '当归', '赤芍', '地龙', '川芎', '桃仁', '红花']"
消栓再造丸,"['血竭', '赤芍', '当归', '牛膝', '丹参', '川芎', '桂枝', '豆蔻', '郁金', '积壳', '白术', '人参', '沉香', '金白花蛇', '僵蚕', '白附子', '肉桂', '冰片', '苏合香', '安息香', '朱砂']"
消栓胶囊,"['黄芪', '当归', '赤芍', '地龙', '川芎', '桃仁', '红花']"
双黄连注射液,"['金银花', '黄芩', '连翘']"
玉液消渴颗粒,"['黄芪', '太子参', '知母', '天花粉', '葛根', '味子', '鸡内金']"
正心降脂片,"['红膻', '决明子', '何首乌', '黄芪', '丹参', '葛根', '槐米']"
甘露消渴胶囊,"['熟地黄', '人参', '枸杞子', '山茱萸', '天冬', '党参', '黄芪', '当归', '白术', '茯苓', '地骨', '玄参', '桑螵蛸', '天花粉']"
艾叶油软胶囊,['艾叶油']
古汉养生精,"['人参', '黄芪', '金樱子肉', '枸杞子', '女贞子', '菟丝子', '淫羊藿', '白芍', '甘草', '麦芽', '黄精', '蜂蜜']"
益母颗粒,"['益母草', '当归', '川芎', '木香']"
心痛宁滴丸,"['肉桂', '川芎', '香附']"
双黄平喘颗粒,"['麻黄', '紫金牛', '黄芩', '苦杏仁', '桃仁', '地龙', '味子', '淫羊藿', '女贞子', '甘草']"
风湿痹康胶囊,"['土茯苓', '穿山龙', '青风藤', '蜈蚣', '全蝎', '穿山甲', '马子粉味']"
丹香清脂颗粒,"['丹参', '川芎', '桃仁', '降香', '莪术', '枳壳', '大黄']"
天菊脑安胶囊,"['川芎', '天麻', '菊花', '蔓荆子', '藁本', '白芍', '丹参', '墨旱莲', '女贞子', '牛膝']"
云南白药,"['蒲黄', '白及']"
扎冲十三味丸,"['诃子', '制草乌', '石菖蒲', '木香', '麝香', '珊瑚', '珍珠', '丁香', '沉香', '禹粮土', '磁石', '甘草', '肉豆蔻']"
木香顺气丸,"['木香', '砂仁', '厚朴', '枳壳', '槟榔', '香附', '苍术', '甘草']"
五子衍宗丸,"['枸杞子', '菟丝子', '覆盆子', '味子', '车前子']"
