名字,组成
消痛贴膏,"['独味花', '椒棘豆', '姜黄', '水柏枝', '水牛角']"
清淋颗粒,"['瞿麦', '萹蓄', '木通', '车前子', '滑石', '栀子', '大黄', '炙甘草']"
消痔栓,"['龙骨', '轻粉', '冰片', '珍珠']"
驱虫消食片,"['槟榔', '使君子仁', '雷丸', '鸡内金', '茯苓', '牵牛子', '芡实', '甘草']"
清气化痰丸,"['黄芩', '瓜蒌仁霜', '胆南星', '苦杏仁', '枳实', '茯苓']"
清眩片,"['川芎', '白芷', '薄荷', '荆芥穗', '石膏']"
清脑降压片,"['黄芩', '夏枯草', '槐米', '磁石', '牛膝', '当归', '地黄', '丹参', '水蛭', '钩藤', '决明子', '地龙', '珍珠母']"
小活络丸,"['胆南星', '制川乌', '制草乌', '地龙', '乳香']"
清开灵注射液,"['胆酸', '珍珠母', '猪氧胆酸', '栀子水', '牛角', '板蓝根', '黄芩苷', '金银花']"
千金止带丸,"['党参', '白术', '续断', '补骨脂', '杜仲', '当归', '白芍', '川芎', '香附', '延胡索', '鸡冠花', '木香', '砂仁', '小茴香', '青黛', '牡蛎']"
牛黄蛇胆川贝散,"['牛黄', '蛇胆汁', '川贝母']"
清肺化痰丸,"['胆南星', '苦杏仁', '法夏', '枳壳', '黄芩', '川贝母', '麻黄', '桔梗', '白苏子', '瓜蒌子', '莱菔子', '款冬花', '茯苓', '甘草']"
强力枇杷露,"['枇杷叶', '罂粟壳', '百部', '白前', '桑白', '桔梗', '薄荷脑']"
前列舒丸,"['熟地黄', '薏苡仁', '冬瓜子', '山茱萸', '牡丹', '苍术', '桃仁', '泽泻', '茯苓', '桂枝', '附子', '韭菜子', '淫羊藿', '甘草']"
少林风湿跌打膏,"['生川乌', '生草乌', '白及', '白芷', '白蔹', '土鳖虫', '木瓜', '莪术', '当归', '赤芍', '肉桂', '大黄', '连翘', '血竭', '乳香', '儿茶', '薄荷脑', '水杨酸甲酯', '冰片']"
七珍丸,"['僵蚕', '全蝎', '麝香', '朱砂', '雄黄', '胆南星', '天竺黄', '巴豆霜', '寒食曲']"
暖脐膏,"['当归', '白芷', '小茴香', '角茴香', '木香', '香附', '乳香', '母丁香', '肉桂', '沉香', '麝香']"
排石颗粒,"['连草', '车前子', '木通', '徐长卿', '石韦', '瞿麦', '忍冬藤', '滑石', '苘麻子', '甘草']"
天麻钩藤颗粒,"['天麻', '钩藤', '石决明', '栀子', '黄芩', '牛膝', '杜仲', '益母草', '桑寄', '生首乌', '藤茯苓']"
天王补心丸,"['丹参', '当归', '石菖蒲', '党参', '茯苓', '味子', '麦冬', '天冬', '地黄', '玄参', '远志', '酸枣仁', '柏子仁', '桔梗', '甘草', '朱砂']"
缩泉丸,['益智仁']
四味珍层冰硼滴眼液,"['珍珠层粉', '天然冰片', '硼砂', '硼酸']"
苏合香丸,"['苏合香', '安息香', '冰片', '水牛角浓缩粉', '麝香', '檀香', '沉香', '丁香', '香附', '木香', '乳香', '荜茇', '白术', '诃子肉', '朱砂']"
十香返生丸,"['沉香', '丁香', '檀香', '土木香', '香附', '降香', '广藿香', '乳香', '天麻', '僵蚕', '郁金', '莲子', '瓜蒌子', '金礞石', '诃子肉', '甘草', '苏合香', '安息香', '麝香', '冰片', '朱砂', '琥珀', '牛黄']"
舒筋活络酒,"['木瓜', '桑寄生', '玉竹', '续断', '川牛膝', '当归', '川芎', '红花', '独活', '羌活', '防风', '白术', '蚕砂', '红曲', '甘草']"
麝香痔疮栓,"['人工牛黄', '珍珠', '冰片', '倍子', '炉甘石', '颠茄流浸膏', '麝香']"
麝香狗皮膏,"['大黄', '防风', '玄参', '麝香', '当归', '白芷', '地黄', '羌活', '荆芥', '黄柏', '牡丹', '木鳖子', '赤芍', '干姜', '独活', '官桂', '阿魏', '乳香', '丁香', '肉桂', '川木香', '黄芩']"
麝香祛痛气雾剂,"['麝香', '冰片', '薄荷脑', '独活l', '龙血竭', '红花', '地黄', '樟脑']"
麝香风湿跌打膏,"['乳香', '禹白附', '高良姜', '肉桂', '红花', '川断', '独活', '羌活', '丁香', '川芎', '冬青油', '莪术', '冰片', '薄荷脑', '麝香']"
蛇胆川贝散,"['蛇胆汁', '川贝母']"
健胃消食片,"['太子参', '麦芽', '山楂']"
急支糖浆,"['鱼腥草', '金荞麦', '季青', '麻黄', '紫菀', '前胡', '枳壳', '甘草']"
健脾丸,"['党参', '白术', '枳实', '山楂', '麦芽']"
黄疸茵陈颗粒,"['茵陈', '黄芩', '大黄', '甘草', '蔗糖', '糊精']"
藿香正气水,"['苍术', '厚朴', '白芷', '茯苓', '大腹', '生夏', '甘草浸膏', '广藿香油', '紫苏叶油']"
蛤蚧定喘丸,"['蛤蚧', '瓜蒌', '紫菀', '麻黄', '鳖甲', '黄芩', '甘草', '麦冬', '黄连', '百合', '紫苏子', '石膏', '苦杏仁', '石膏']"
桂龙咳喘宁胶囊,"['桂枝', '龙骨', '白芍', '生姜', '大枣', '炙甘草', '牡蛎', '黄连', '法夏', '瓜蒌', '苦杏仁']"
固经丸,"['白芍', '龟甲', '黄柏', '黄芩', '香附']"
咳喘宁颗粒,"['麻黄', '紫菀', '百部', '甘草', '苦杏仁']"
克咳胶囊,"['麻黄', '罂粟壳', '甘草', '苦杏仁', '莱菔子', '桔梗', '石膏']"
礞石滚痰丸,"['金礞石', '沉香', '黄芩', '熟大黄']"
控涎丸,"['甘遂', '红大戟', '白芥子']"
癃清片,"['泽泻', '车前子', '败酱草', '金银花', '牡丹', '白花蛇舌草', '赤芍', '仙鹤草黄连', '黄柏']"
利胆排石片,"['金草', '茵陈', '黄芩', '木香', '郁金', '大黄', '槟榔', '枳实', '芒硝', '厚朴']"
牡荆油胶丸,['牡荆油']
脑立清丸,"['磁石', '赭石', '珍珠母', '清夏', '酒曲', '酒曲', '牛膝', '薄荷脑', '冰片', '猪胆汁']"
木瓜丸,"['木瓜', '当归', '川芎', '白芷', '威灵仙', '狗脊', '牛膝', '鸡血藤', '海风藤', '人参', '制川乌', '制草乌']"
牛黄清心丸,"['牛黄', '当归', '川芎', '甘草', '黄芩', '苦杏仁', '大豆黄卷', '大枣', '白术', '茯苓', '桔梗', '防风', '柴胡', '阿胶', '干姜', '白芍', '人参', '神曲', '肉桂', '麦冬', '白蔹', '蒲黄', '麝香', '冰片', '水牛角浓缩粉', '羚羊角', '朱砂', '雄黄']"
代温灸膏,"['辣椒', '肉桂', '生姜', '肉桂油']"
九分散,"['马子粉', '麻黄', '乳香']"
独活寄生合剂,"['独活', '桑寄生', '秦艽', '防风', '细辛', '当归', '白芍', '川芎', '熟地黄', '党参', '杜仲', '川牛膝', '茯苓', '甘草', '桂枝']"
二陈丸,"['茯苓', '甘草']"
